Model,Test R²,Test RMSE,Test MAE
Autoregressive Regression,0.3910747381336893,9.74697195259892,5.225415473229609
Lagged 12-Week Regression,0.2396606518664233,49.41351260353501,24.29060141701931
Simple Linear Regression,0.1329623065282134,52.75694954349918,24.40749387557961
Interaction Terms Regression,0.1329623065282134,52.75694954349918,24.40749387557961
